Simon Rex,Book now for $69,Actor - Comedian,1 DAY.,219 Reviews,4.9 stars,"['https://www.cameo.com/c/comedians', 'https://www.cameo.com/c/viners', 'https://www.cameo.com/c/featured', 'https://www.cameo.com/c/musicians', 'https://www.cameo.com/c/browse-featured', 'https://www.cameo.com/c/actors', 'https://www.cameo.com/c/standup-comedians']"
Redman,Book now for $150,Rapper,1 DAY.,118 Reviews,5 stars,"['https://www.cameo.com/c/hip-hop', 'https://www.cameo.com/c/featured', 'https://www.cameo.com/c/browse-featured', 'https://www.cameo.com/c/actors', 'https://www.cameo.com/c/rappers']"
Robert R. Shafer,Book now for $100,Actor - The Office,1 DAY.,161 Reviews,5 stars,"['https://www.cameo.com/c/actors', 'https://www.cameo.com/c/television', 'https://www.cameo.com/c/the-office']"
Shooter McGavin,Book now for $220,Actor - Happy Gilmore,10 HOURS.,123 Reviews,5 stars,"['https://www.cameo.com/c/featured', 'https://www.cameo.com/c/browse-featured', 'https://www.cameo.com/c/actors', 'https://www.cameo.com/c/golf', 'https://www.cameo.com/c/nineties-throwback', 'https://www.cameo.com/c/comic-con']"
Randy Couture,Book now for $75,Former MMA Fighter - Actor,7 HOURS.,152 Reviews,5 stars,"['https://www.cameo.com/c/fighters', 'https://www.cameo.com/c/athletes', 'https://www.cameo.com/c/featured', 'https://www.cameo.com/c/browse-featured', 'https://www.cameo.com/c/actors', 'https://www.cameo.com/c/ufc']"
Brant Daugherty,Book now for $75,Actor - Pretty Little Liars,5 HOURS.,67 Reviews,5 stars,"['https://www.cameo.com/c/featured', 'https://www.cameo.com/c/browse-featured', 'https://www.cameo.com/c/actors', 'https://www.cameo.com/c/television', 'https://www.cameo.com/c/dancing-with-the-stars', 'https://www.cameo.com/c/holiday']"
John Schneider,Book now for $200,Actor,12 HOURS.,113 Reviews,4.9 stars,"['https://www.cameo.com/c/featured', 'https://www.cameo.com/c/browse-featured', 'https://www.cameo.com/c/actors', 'https://www.cameo.com/c/glee', 'https://www.cameo.com/c/television', 'https://www.cameo.com/c/comic-con', 'https://www.cameo.com/c/dc']"
Constantine Maroulis,Book now for $40,Actor,2 DAYS.,83 Reviews,5 stars,"['https://www.cameo.com/c/reality', 'https://www.cameo.com/c/singersongwriter', 'https://www.cameo.com/c/broadway', 'https://www.cameo.com/c/musicians', 'https://www.cameo.com/c/actors', 'https://www.cameo.com/c/american-idol']"
Lochlyn Munro,Book now for $55,Actor - Riverdale,1 DAY.,74 Reviews,5 stars,"['https://www.cameo.com/c/riverdale', 'https://www.cameo.com/c/actors', 'https://www.cameo.com/c/television', 'https://www.cameo.com/c/comic-con']"
Drew Seeley,Book now for $50,Actor - Another Cinderella Story,5 HOURS.,151 Reviews,4.9 stars,"['https://www.cameo.com/c/actors', 'https://www.cameo.com/c/disney', 'https://www.cameo.com/c/television', 'https://www.cameo.com/c/holiday']"
